date,state,energy_met_mu
2013-04-01,Karnataka,159.4
2013-04-02,Karnataka,164.6
2013-04-03,Karnataka,163.7
2013-04-04,Karnataka,161.8
2013-04-05,Karnataka,163.3
2013-04-06,Karnataka,161.1
2013-04-07,Karnataka,161.2
2013-04-08,Karnataka,169.6
2013-04-09,Karnataka,172.1
2013-04-10,Karnataka,169.7
2013-04-11,Karnataka,162.4
2013-04-12,Karnataka,169.3
2013-04-13,Karnataka,172.2
2013-04-14,Karnataka,167.2
2013-04-15,Karnataka,170.8
2013-04-16,Karnataka,169.6
2013-04-17,Karnataka,170.7
2013-04-18,Karnataka,171.2
2013-04-19,Karnataka,166.7
2013-04-20,Karnataka,169.5
2013-04-21,Karnataka,161.7
2013-04-22,Karnataka,167.4
2013-04-23,Karnataka,169.4
2013-04-24,Karnataka,164.2
2013-04-25,Karnataka,156.8
2013-04-26,Karnataka,149.4
2013-04-27,Karnataka,156.3
2013-04-28,Karnataka,149.0
2013-04-29,Karnataka,153.8
2013-04-30,Karnataka,158.6
2013-05-01,Karnataka,153.7
2013-05-02,Karnataka,160.2
2013-05-03,Karnataka,163.2
2013-05-04,Karnataka,167.7
2013-05-05,Karnataka,164.2
2013-05-06,Karnataka,165.5
2013-05-07,Karnataka,168.9
2013-05-08,Karnataka,167.7
2013-05-09,Karnataka,146.4
2013-05-10,Karnataka,149.5
2013-05-11,Karnataka,147.1
2013-05-12,Karnataka,141.8
2013-05-13,Karnataka,156.8
2013-05-14,Karnataka,159.4
2013-05-15,Karnataka,162.4
2013-05-16,Karnataka,162.3
2013-05-17,Karnataka,168.5
2013-05-18,Karnataka,162.9
2013-05-19,Karnataka,146.3
2013-05-20,Karnataka,149.4
2013-05-21,Karnataka,142.3
2013-05-22,Karnataka,152.8
2013-05-23,Karnataka,150.8
2013-05-24,Karnataka,160.8
2013-05-25,Karnataka,159.0
2013-05-26,Karnataka,148.5
2013-05-27,Karnataka,147.7
2013-05-28,Karnataka,146.4
2013-05-29,Karnataka,141.9
2013-05-31,Karnataka,139.9
2013-06-02,Karnataka,117.4
2013-06-04,Karnataka,131.1
2013-06-05,Karnataka,135.5
2013-06-06,Karnataka,132.6
2013-06-07,Karnataka,134.9
2013-06-08,Karnataka,130.9
2013-06-09,Karnataka,121.8
2013-06-10,Karnataka,136.7
2013-06-11,Karnataka,138.6
2013-06-12,Karnataka,137.7
2013-06-13,Karnataka,135.7
2013-06-14,Karnataka,136.6
2013-06-15,Karnataka,135.6
2013-06-16,Karnataka,127.0
2013-06-17,Karnataka,140.9
2013-06-18,Karnataka,146.8
2013-06-19,Karnataka,147.9
2013-06-20,Karnataka,148.5
2013-06-21,Karnataka,151.2
