date,actual,yesterday,last_week,trailing_7day,calendar_only,calendar_plus_lags,plus_temperature,sarimax
2024-02-05,294.3,275.2,282.8,289.54285714285714,259.7971006103963,284.65581184129115,284.3161866885667,290.7525134839176
2024-02-06,301.4,294.3,291.2,291.18571428571425,262.1032733472683,295.4677729370381,296.64709094558583,293.267376383246
2024-02-07,301.1,301.4,293.0,292.6428571428572,262.70513728874687,300.83273876390274,302.204884837617,294.9855611990819
2024-02-08,306.1,301.1,293.4,293.8,262.71782576827457,299.63110835969593,301.43457361450396,295.5646653623147
2024-02-09,308.1,306.1,296.6,295.61428571428576,263.4213156187174,305.48881510521255,306.32217277350236,295.7518376786603
2024-02-10,301.0,308.1,294.6,297.25714285714287,260.19171798362646,303.54079697875113,302.6280041354395,290.73985465266276
2024-02-11,284.9,301.0,275.2,298.1714285714285,249.20754367371904,287.0809708595819,286.06114892184047,271.85802943470117
2024-02-12,301.6,284.9,294.3,299.5571428571429,259.9306898541722,294.02200484415846,293.57216643809556,288.1069458674067
2024-02-13,306.6,301.6,301.4,300.6,262.2368625910442,302.37795616782137,301.59138736186935,291.21258726521665
2024-02-14,309.8,306.6,301.1,301.3428571428572,262.83872653252274,305.5233961707899,304.56660932233973,293.43354949867893
2024-02-15,309.1,309.8,306.1,302.5857142857143,262.85141501205044,308.3143935503326,307.3649392668278,294.43281572294296
2024-02-16,305.7,309.1,308.1,303.0142857142858,263.55490486249334,308.53083495065067,306.4215860022093,294.9709345451686
2024-02-17,302.2,305.7,301.0,302.6714285714285,260.3253072274024,300.930949259682,300.8134985179157,290.2365920731578
2024-02-18,291.0,302.2,284.9,302.8428571428572,249.34113291749492,288.5614794993344,289.40380962402554,271.5417246767044
2024-02-19,308.6,291.0,301.6,303.7142857142857,260.0642790979481,300.2666473199427,299.79421076164687,288.0454524756409
2024-02-20,312.5,308.6,306.6,304.7142857142857,262.3704518348201,309.3152045792699,309.2753988277266,291.3318903356401
2024-02-21,312.8,312.5,309.8,305.5571428571429,262.9723157762986,311.70440499904726,312.12585175605875,293.7028406476473
2024-02-22,311.1,312.8,309.1,305.9857142857143,262.9850042558263,311.1087656439351,311.9190273373634,294.82485681620227
2024-02-23,316.0,311.1,305.7,306.2714285714286,263.6884941062692,309.7747432114841,310.99587245798347,295.4646776467995
2024-02-24,314.0,316.0,302.2,307.74285714285713,260.45889647117826,310.6165442706198,310.63654317922715,290.79941324573554
2024-02-25,296.6,314.0,291.0,309.42857142857144,249.47472216127082,300.0275114503708,300.365833763012,272.1169741277435
2024-02-26,309.3,296.6,308.6,310.22857142857146,260.19786834172396,305.59668776050455,305.17281430871975,288.7299044460051
2024-02-27,318.8,309.3,312.5,310.3285714285715,262.504041078596,309.7416389095889,309.17968286516754,292.07531184638526
2024-02-28,319.5,318.8,312.8,311.2285714285714,263.1059050200745,317.45517925204865,318.2301663273457,294.49440169452197
2024-02-29,320.9,319.5,311.1,312.1857142857143,263.11859349960224,317.07214706818985,317.4149907487263,295.65401658169026
2024-03-01,322.4,320.9,316.0,313.5857142857143,273.4665135436758,320.08345090944056,318.0512891131959,296.3243521594582
2024-03-02,317.8,322.4,314.0,314.5,270.2369159085848,317.7494222847089,315.8402600519951,291.6686059237115
2024-03-03,303.6,317.8,296.6,315.04285714285714,259.2527415986774,304.0762420266914,302.4980516908881,272.94866504004926
2024-03-04,323.1,303.6,309.3,316.04285714285714,269.9758877791305,312.3206118021503,312.8453556377829,289.62936140655495
2024-03-05,325.7,323.1,318.8,318.0142857142857,272.2820605160026,323.5977879422236,323.6514298730499,292.99899904082775
2024-03-06,323.9,325.7,319.5,319.0,272.8839244574811,324.3928114347409,324.6359631293763,295.43718362441604
2024-03-07,326.1,323.9,320.9,319.62857142857143,272.8966129370088,321.8711310102401,322.26356832161565,296.61010832867817
2024-03-08,328.9,326.1,322.4,320.37142857142857,273.60010278745165,324.90408982408894,324.1083440912119,297.2906508852548
2024-03-09,322.7,328.9,317.8,321.3,270.3705051523607,323.60369461134957,322.5211862825043,292.6273968226966
2024-03-10,307.3,322.7,303.6,322.0,259.3863308424533,308.63020197028595,307.6096601534612,273.85558105110795
2024-03-11,325.5,307.3,323.1,322.52857142857147,270.1094770229064,316.4560363978271,316.2999937371601,290.5923326776964
2024-03-12,328.7,325.5,325.7,322.87142857142857,272.4156497597785,325.96264695788506,325.85294833851054,293.97631090357896
2024-03-13,330.5,328.7,323.9,323.3,273.017513701257,327.18911912058934,327.4649861420272,296.4253191441331
2024-03-14,329.1,330.5,326.1,324.24285714285713,273.03020218078467,328.32512309735284,327.9860299756738,297.6046310806964
2024-03-15,329.7,329.1,328.9,324.6714285714285,273.7336920312275,327.9207854495001,328.4293956158283,298.28959067018786
2024-03-16,322.4,329.7,322.7,324.7857142857143,270.5040943961366,324.3687710759231,325.7383545014927,293.6139391945905
2024-03-17,309.5,322.4,307.3,324.74285714285713,259.51992008622915,308.28157365910647,308.8310281426925,274.7860207319771
2024-03-18,327.7,309.5,325.5,325.0571428571429,270.2430662666823,318.52241438072855,319.3405564947907,291.57559901531823
2024-03-19,326.4,327.7,328.7,325.37142857142857,272.54923900355436,328.096595771163,328.14683290791345,294.9711187903685
2024-03-20,328.1,326.4,330.5,325.04285714285714,273.1511029450329,325.29240327403227,326.4049004735506,297.42860717263153
2024-03-21,323.8,328.1,329.1,324.7,273.1637914245606,326.15705087575657,324.32304503270024,298.61233903465165
2024-03-22,331.4,323.8,329.7,323.9428571428571,273.86728127500345,322.7932267452297,322.7535406740995,299.3000681979435
2024-03-23,324.0,331.4,322.4,324.1857142857143,270.6376836399125,326.15242184038175,326.3808818995464,294.6105925926183
2024-03-24,309.2,324.0,309.5,324.4142857142857,259.653509330005,310.18318734302176,311.10465496800265,275.725238081915
2024-03-25,318.1,309.2,327.7,324.37142857142857,265.96632011990584,313.46156288292286,315.13589540599395,292.5668350474979
2024-03-26,324.7,318.1,326.4,323.0,272.68282824733024,318.5792714554683,320.3709593361409,295.9731206103288
2024-03-27,330.6,324.7,328.1,322.75714285714287,273.2846921888088,323.7042289401807,324.63870273981655,298.4384370232648
2024-03-28,328.9,330.6,323.8,323.11428571428576,273.2973806683365,328.3801796756294,329.41790241415305,299.6260354527629
2024-03-29,330.9,328.9,331.4,323.8428571428572,269.590535128227,323.02208117433526,324.9612008754983,300.3160687499148
2024-03-30,327.4,330.9,324.0,323.7714285714286,270.77127288368837,325.89066700905636,327.41294986004544,295.61233028616067
2024-03-31,309.1,327.4,309.2,324.25714285714287,259.7870985737809,313.60699655387447,314.9315019864312,276.6690318724116
2024-04-01,325.2,309.1,318.1,324.24285714285713,258.55701321906633,316.06109683019986,316.33762000276306,293.56253058911875
2024-04-02,332.3,325.2,324.7,325.25714285714287,260.8631859559384,323.7651179467232,324.6652449070006,296.97938356583506
2024-04-03,334.3,332.3,330.6,326.3428571428572,261.46504989741686,329.62020200830085,330.11644182107506,299.4523585696828
2024-04-04,334.1,334.3,328.9,326.87142857142857,261.47773837694456,330.6150086334276,330.8352181228684,300.6436736852374
2024-04-05,336.9,334.1,330.9,327.61428571428576,262.18122822738746,331.2842018228585,332.6453264715087,301.3358829644425
2024-04-06,329.7,336.9,327.4,328.4714285714286,258.9516305922965,330.1107550309056,331.297271036185,296.6177247258541
2024-04-07,316.3,329.7,309.1,328.8,247.96745628238907,313.76005196748054,314.8311960016575,277.6162097086615
2024-04-08,331.7,316.3,325.2,329.8285714285715,258.6906024628422,323.16205044523156,324.1981684310992,294.56169077504165
2024-04-09,312.9,331.7,332.3,330.75714285714287,256.5864398091619,325.12047211803736,324.18843300342087,297.98907761245664
2024-04-10,320.2,312.9,334.3,327.9857142857143,261.59863914119273,310.2195484071761,310.4778325194023,300.46967954259696
2024-04-11,319.4,320.2,334.1,325.9714285714286,257.20099223016814,312.01014448228705,312.05583018012106,301.66467661423485
2024-04-12,316.8,319.4,336.9,323.87142857142857,262.31481747116334,317.7243635339102,316.52255956854674,302.35902997880265
2024-04-13,301.3,316.8,329.7,321.0,259.0852198360724,311.3267481767953,310.6350584848447,297.62637536288435
