date,holiday,demand,normal,diff_pct
2013-04-11,Ugadi,162.4,162.5,-0.1
2013-04-14,Dr. B. R. Ambedkar's Jayanti,167.2,159.0,5.1
2013-04-19,Ram Navami,166.7,158.9,4.9
2013-04-24,Mahavir Jayanti,164.2,164.6,-0.3
2013-05-25,Buddha Purnima,159.0,148.8,6.8
2013-08-09,Id-ul-Fitr,146.3,147.1,-0.5
2013-08-15,Independence Day,145.5,145.0,0.3
2013-10-02,Mahatma Gandhi's Jayanti,147.8,139.4,6.0
2013-10-13,Dussehra,151.9,136.2,11.5
2013-10-16,Id-ul-Zuha (Bakrid),155.4,149.4,4.0
2013-11-01,Karnataka Rajyotsava,144.4,161.4,-10.5
2013-11-03,Diwali (Deepavali),136.3,145.2,-6.1
2013-11-14,Muharram,172.4,158.7,8.6
2013-11-17,Guru Nanak's Jayanti,150.2,151.0,-0.5
2013-12-25,Christmas,172.0,172.7,-0.4
2014-01-14,Milad-un-Nabi,181.5,181.2,0.2
2014-01-26,Republic Day,173.2,177.0,-2.1
2014-03-17,Holi,189.5,188.2,0.7
2014-03-31,Ugadi,194.8,188.7,3.2
2014-04-08,Ram Navami,201.2,192.2,4.7
2014-04-13,Mahavir Jayanti,182.4,177.6,2.7
2014-04-14,Dr. B. R. Ambedkar's Jayanti,190.0,187.8,1.1
2014-04-18,Good Friday,168.2,182.0,-7.6
2014-05-14,Buddha Purnima,175.4,167.4,4.8
2014-07-29,Id-ul-Fitr,155.2,154.4,0.5
2014-08-15,Independence Day,157.2,147.3,6.7
2014-08-18,Janmashtami (Vaishnava),158.3,145.9,8.5
2014-10-02,Mahatma Gandhi's Jayanti,139.9,153.9,-9.1
2014-10-03,Dussehra,141.7,153.6,-7.8
2014-10-06,Id-ul-Zuha (Bakrid),140.6,148.9,-5.6
2014-10-23,Diwali (Deepavali),151.6,150.5,0.7
2014-11-01,Karnataka Rajyotsava,140.3,149.0,-5.9
2014-11-04,Muharram,161.0,155.5,3.6
2014-11-06,Guru Nanak's Jayanti,166.9,158.3,5.5
2014-12-25,Christmas,172.3,170.9,0.8
2015-01-04,Milad-un-Nabi,167.4,166.8,0.3
2015-01-26,Republic Day,172.0,183.2,-6.1
2015-03-06,Holi,183.1,200.0,-8.4
2015-03-21,Ugadi,193.6,188.1,2.9
2015-03-28,Ram Navami,202.9,182.5,11.2
2015-04-02,Mahavir Jayanti,199.0,190.0,4.7
2015-04-03,Good Friday,197.4,187.1,5.5
2015-04-14,Dr. B. R. Ambedkar's Jayanti,161.9,188.8,-14.2
2015-05-04,Buddha Purnima,170.6,169.9,0.4
2015-07-18,Id-ul-Fitr,173.4,169.5,2.3
2015-08-15,Independence Day,159.8,164.6,-2.9
2015-09-25,Id-ul-Zuha (Bakrid),152.1,143.6,5.9
2015-10-02,Mahatma Gandhi's Jayanti,141.0,146.8,-3.9
2015-10-22,Dussehra,163.6,149.1,9.7
2015-10-24,Muharram,162.4,152.8,6.3
2015-11-01,Karnataka Rajyotsava,164.6,149.9,9.8
2015-11-11,Diwali (Deepavali),152.7,160.6,-4.9
2015-11-25,Guru Nanak's Jayanti,154.8,160.6,-3.6
2015-12-24,Milad-un-Nabi,172.1,174.2,-1.2
2015-12-25,Christmas,170.4,172.3,-1.1
2016-01-26,Republic Day,178.4,189.8,-6.0
2016-03-24,Holi,209.5,206.6,1.4
2016-04-08,Ugadi,200.6,204.9,-2.1
2016-04-14,Dr. B. R. Ambedkar's Jayanti,209.5,208.1,0.7
2016-04-15,Ram Navami,200.6,202.1,-0.8
2016-04-20,Mahavir Jayanti,212.6,203.5,4.5
2016-05-21,Buddha Purnima,180.9,171.3,5.6
2016-08-15,Independence Day,163.7,166.2,-1.5
2016-08-25,Janmashtami (Vaishnava),196.7,176.9,11.2
2016-09-12,Id-ul-Zuha (Bakrid),196.8,181.3,8.5
2016-10-02,Mahatma Gandhi's Jayanti,165.4,182.2,-9.2
2016-10-11,Dussehra,177.3,192.6,-7.9
2016-10-12,Muharram,180.5,190.9,-5.4
2016-10-30,Diwali (Deepavali),197.0,191.4,2.9
