date,state,energy_met_mu,lag_1,lag_7,roll_7,dow,day_name,month,year,is_weekend,t,holiday_name,is_holiday,temp_max_c,temp_min_c,rain_mm
2013-04-01,Karnataka,159.4,,,,0,Monday,4,2013,0,0,,0,32.1,23.1,6.3
2013-04-02,Karnataka,164.6,159.4,,,1,Tuesday,4,2013,0,1,,0,31.8,21.9,3.6
2013-04-03,Karnataka,163.7,164.6,,,2,Wednesday,4,2013,0,2,,0,31.8,22.1,0.4
2013-04-04,Karnataka,161.8,163.7,,,3,Thursday,4,2013,0,3,,0,33.4,21.3,0.0
2013-04-05,Karnataka,163.3,161.8,,,4,Friday,4,2013,0,4,,0,33.2,22.1,0.0
2013-04-06,Karnataka,161.1,163.3,,,5,Saturday,4,2013,1,5,,0,34.4,22.6,0.0
2013-04-07,Karnataka,161.2,161.1,,,6,Sunday,4,2013,1,6,,0,35.4,19.9,0.0
2013-04-08,Karnataka,169.6,161.2,159.4,162.15714285714284,0,Monday,4,2013,0,7,,0,34.7,21.3,0.0
2013-04-09,Karnataka,172.1,169.6,164.6,163.6142857142857,1,Tuesday,4,2013,0,8,,0,33.3,22.7,0.0
2013-04-10,Karnataka,169.7,172.1,163.7,164.68571428571428,2,Wednesday,4,2013,0,9,,0,34.1,22.1,0.0
2013-04-11,Karnataka,162.4,169.7,161.8,165.54285714285714,3,Thursday,4,2013,0,10,Ugadi,1,34.8,20.5,0.0
2013-04-12,Karnataka,169.3,162.4,163.3,165.62857142857143,4,Friday,4,2013,0,11,,0,35.6,20.9,0.0
2013-04-13,Karnataka,172.2,169.3,161.1,166.4857142857143,5,Saturday,4,2013,1,12,,0,34.4,19.4,0.0
2013-04-14,Karnataka,167.2,172.2,161.2,168.07142857142858,6,Sunday,4,2013,1,13,Dr. B. R. Ambedkar's Jayanti,1,34.5,21.1,0.0
2013-04-15,Karnataka,170.8,167.2,169.6,168.92857142857142,0,Monday,4,2013,0,14,,0,32.9,22.4,0.0
2013-04-16,Karnataka,169.6,170.8,172.1,169.1,1,Tuesday,4,2013,0,15,,0,34.5,21.9,0.0
2013-04-17,Karnataka,170.7,169.6,169.7,168.74285714285716,2,Wednesday,4,2013,0,16,,0,35.0,21.3,0.0
2013-04-18,Karnataka,171.2,170.7,162.4,168.8857142857143,3,Thursday,4,2013,0,17,,0,34.3,21.4,0.0
2013-04-19,Karnataka,166.7,171.2,169.3,170.14285714285714,4,Friday,4,2013,0,18,Ram Navami,1,32.9,21.7,0.0
2013-04-20,Karnataka,169.5,166.7,172.2,169.77142857142857,5,Saturday,4,2013,1,19,,0,32.9,21.3,0.0
2013-04-21,Karnataka,161.7,169.5,167.2,169.3857142857143,6,Sunday,4,2013,1,20,,0,33.4,21.7,0.0
2013-04-22,Karnataka,167.4,161.7,170.8,168.59999999999997,0,Monday,4,2013,0,21,,0,32.2,21.8,0.0
2013-04-23,Karnataka,169.4,167.4,169.6,168.1142857142857,1,Tuesday,4,2013,0,22,,0,31.4,21.9,0.0
2013-04-24,Karnataka,164.2,169.4,170.7,168.08571428571426,2,Wednesday,4,2013,0,23,Mahavir Jayanti,1,32.5,21.5,3.0
2013-04-25,Karnataka,156.8,164.2,171.2,167.15714285714284,3,Thursday,4,2013,0,24,,0,31.1,21.5,8.1
2013-04-26,Karnataka,149.4,156.8,166.7,165.1,4,Friday,4,2013,0,25,,0,31.4,21.0,1.0
2013-04-27,Karnataka,156.3,149.4,169.5,162.62857142857143,5,Saturday,4,2013,1,26,,0,31.3,21.0,0.0
2013-04-28,Karnataka,149.0,156.3,161.7,160.74285714285716,6,Sunday,4,2013,1,27,,0,32.1,21.7,0.2
2013-04-29,Karnataka,153.8,149.0,167.4,158.92857142857142,0,Monday,4,2013,0,28,,0,32.9,20.8,0.0
2013-04-30,Karnataka,158.6,153.8,169.4,156.9857142857143,1,Tuesday,4,2013,0,29,,0,34.8,21.7,0.0
2013-05-01,Karnataka,153.7,158.6,164.2,155.44285714285715,2,Wednesday,5,2013,0,30,,0,34.8,20.1,0.0
2013-05-02,Karnataka,160.2,153.7,156.8,153.94285714285712,3,Thursday,5,2013,0,31,,0,34.4,22.1,0.0
2013-05-03,Karnataka,163.2,160.2,149.4,154.42857142857142,4,Friday,5,2013,0,32,,0,34.2,22.3,0.7
2013-05-04,Karnataka,167.7,163.2,156.3,156.4,5,Saturday,5,2013,1,33,,0,33.5,22.9,2.2
2013-05-05,Karnataka,164.2,167.7,149.0,158.02857142857144,6,Sunday,5,2013,1,34,,0,32.7,22.1,3.2
2013-05-06,Karnataka,165.5,164.2,153.8,160.2,0,Monday,5,2013,0,35,,0,32.3,21.7,0.0
2013-05-07,Karnataka,168.9,165.5,158.6,161.87142857142857,1,Tuesday,5,2013,0,36,,0,33.0,22.5,0.0
2013-05-08,Karnataka,167.7,168.9,153.7,163.34285714285716,2,Wednesday,5,2013,0,37,,0,33.7,22.5,1.0
2013-05-09,Karnataka,146.4,167.7,160.2,165.34285714285713,3,Thursday,5,2013,0,38,,0,34.3,22.3,4.6
2013-05-10,Karnataka,149.5,146.4,163.2,163.37142857142857,4,Friday,5,2013,0,39,,0,33.2,22.3,0.3
2013-05-11,Karnataka,147.1,149.5,167.7,161.41428571428568,5,Saturday,5,2013,1,40,,0,33.7,22.1,7.7
2013-05-12,Karnataka,141.8,147.1,164.2,158.47142857142856,6,Sunday,5,2013,1,41,,0,30.5,21.7,0.6
2013-05-13,Karnataka,156.8,141.8,165.5,155.27142857142857,0,Monday,5,2013,0,42,,0,31.2,22.6,0.0
2013-05-14,Karnataka,159.4,156.8,168.9,154.02857142857144,1,Tuesday,5,2013,0,43,,0,31.9,21.5,0.0
2013-05-15,Karnataka,162.4,159.4,167.7,152.67142857142858,2,Wednesday,5,2013,0,44,,0,32.4,20.9,0.0
2013-05-16,Karnataka,162.3,162.4,146.4,151.91428571428574,3,Thursday,5,2013,0,45,,0,31.9,20.6,0.0
2013-05-17,Karnataka,168.5,162.3,149.5,154.18571428571428,4,Friday,5,2013,0,46,,0,33.2,21.5,0.0
2013-05-18,Karnataka,162.9,168.5,147.1,156.9,5,Saturday,5,2013,1,47,,0,33.4,22.8,7.2
2013-05-19,Karnataka,146.3,162.9,141.8,159.15714285714287,6,Sunday,5,2013,1,48,,0,32.1,21.5,21.9
2013-05-20,Karnataka,149.4,146.3,156.8,159.8,0,Monday,5,2013,0,49,,0,31.7,21.8,24.4
2013-05-21,Karnataka,142.3,149.4,159.4,158.74285714285716,1,Tuesday,5,2013,0,50,,0,31.3,20.2,66.4
2013-05-22,Karnataka,152.8,142.3,162.4,156.29999999999998,2,Wednesday,5,2013,0,51,,0,30.8,21.3,2.2
2013-05-23,Karnataka,150.8,152.8,162.3,154.92857142857142,3,Thursday,5,2013,0,52,,0,31.1,21.5,0.4
2013-05-24,Karnataka,160.8,150.8,168.5,153.28571428571428,4,Friday,5,2013,0,53,,0,30.9,20.6,0.0
2013-05-25,Karnataka,159.0,160.8,162.9,152.1857142857143,5,Saturday,5,2013,1,54,Buddha Purnima,1,30.3,20.8,0.4
2013-05-26,Karnataka,148.5,159.0,146.3,151.62857142857143,6,Sunday,5,2013,1,55,,0,29.7,20.8,1.1
2013-05-27,Karnataka,147.7,148.5,149.4,151.94285714285715,0,Monday,5,2013,0,56,,0,28.9,21.0,13.5
2013-05-28,Karnataka,146.4,147.7,142.3,151.70000000000002,1,Tuesday,5,2013,0,57,,0,27.3,21.1,11.3
2013-05-29,Karnataka,141.9,146.4,152.8,152.28571428571428,2,Wednesday,5,2013,0,58,,0,27.2,20.7,4.7
2013-05-30,Karnataka,,141.9,150.8,150.72857142857146,3,Thursday,5,2013,0,59,,0,28.0,20.6,18.0
2013-05-31,Karnataka,139.9,,160.8,,4,Friday,5,2013,0,60,,0,27.5,20.4,5.8
2013-06-01,Karnataka,,139.9,159.0,,5,Saturday,6,2013,1,61,,0,24.4,20.0,16.9
2013-06-02,Karnataka,117.4,,148.5,,6,Sunday,6,2013,1,62,,0,24.0,19.5,16.3
2013-06-03,Karnataka,,117.4,147.7,,0,Monday,6,2013,0,63,,0,23.9,19.4,0.8
2013-06-04,Karnataka,131.1,,146.4,,1,Tuesday,6,2013,0,64,,0,27.1,19.7,2.9
2013-06-05,Karnataka,135.5,131.1,141.9,,2,Wednesday,6,2013,0,65,,0,26.7,19.3,2.1
2013-06-06,Karnataka,132.6,135.5,,,3,Thursday,6,2013,0,66,,0,27.2,20.1,7.0
2013-06-07,Karnataka,134.9,132.6,139.9,,4,Friday,6,2013,0,67,,0,27.5,20.4,5.6
2013-06-08,Karnataka,130.9,134.9,,,5,Saturday,6,2013,1,68,,0,26.0,20.0,1.2
2013-06-09,Karnataka,121.8,130.9,117.4,,6,Sunday,6,2013,1,69,,0,26.7,20.4,0.0
2013-06-10,Karnataka,136.7,121.8,,,0,Monday,6,2013,0,70,,0,26.6,19.8,5.1
2013-06-11,Karnataka,138.6,136.7,131.1,131.92857142857142,1,Tuesday,6,2013,0,71,,0,25.2,20.5,16.2
2013-06-12,Karnataka,137.7,138.6,135.5,133.0,2,Wednesday,6,2013,0,72,,0,22.9,20.1,1.9
2013-06-13,Karnataka,135.7,137.7,132.6,133.31428571428572,3,Thursday,6,2013,0,73,,0,25.9,19.7,0.3
2013-06-14,Karnataka,136.6,135.7,134.9,133.75714285714284,4,Friday,6,2013,0,74,,0,26.4,20.4,3.9
2013-06-15,Karnataka,135.6,136.6,130.9,134.0,5,Saturday,6,2013,1,75,,0,26.4,20.7,1.7
2013-06-16,Karnataka,127.0,135.6,121.8,134.67142857142855,6,Sunday,6,2013,1,76,,0,26.5,20.3,1.2
2013-06-17,Karnataka,140.9,127.0,136.7,135.4142857142857,0,Monday,6,2013,0,77,,0,25.2,20.4,10.1
2013-06-18,Karnataka,146.8,140.9,138.6,136.0142857142857,1,Tuesday,6,2013,0,78,,0,24.6,19.8,4.6
2013-06-19,Karnataka,147.9,146.8,137.7,137.18571428571428,2,Wednesday,6,2013,0,79,,0,24.2,19.7,3.4
2013-06-20,Karnataka,148.5,147.9,135.7,138.64285714285714,3,Thursday,6,2013,0,80,,0,25.4,19.8,7.8
2013-06-21,Karnataka,151.2,148.5,136.6,140.4714285714286,4,Friday,6,2013,0,81,,0,25.1,20.2,0.7
2013-06-22,Karnataka,148.6,151.2,135.6,142.55714285714285,5,Saturday,6,2013,1,82,,0,25.5,20.3,8.6
2013-06-23,Karnataka,140.7,148.6,127.0,144.4142857142857,6,Sunday,6,2013,1,83,,0,25.3,20.3,3.6
2013-06-24,Karnataka,145.9,140.7,140.9,146.37142857142857,0,Monday,6,2013,0,84,,0,25.6,20.6,3.2
2013-06-25,Karnataka,141.3,145.9,146.8,147.08571428571426,1,Tuesday,6,2013,0,85,,0,25.6,20.1,5.3
2013-06-26,Karnataka,142.7,141.3,147.9,146.3,2,Wednesday,6,2013,0,86,,0,26.0,20.0,4.6
2013-06-27,Karnataka,143.9,142.7,148.5,145.55714285714285,3,Thursday,6,2013,0,87,,0,25.3,20.0,10.4
2013-06-28,Karnataka,,143.9,151.2,144.9,4,Friday,6,2013,0,88,,0,26.3,19.0,0.4
2013-06-29,Karnataka,148.0,,148.6,,5,Saturday,6,2013,1,89,,0,25.6,19.1,1.9
2013-06-30,Karnataka,140.8,148.0,140.7,,6,Sunday,6,2013,1,90,,0,26.0,19.0,0.6
2013-07-01,Karnataka,148.8,140.8,145.9,,0,Monday,7,2013,0,91,,0,25.9,19.7,0.1
2013-07-02,Karnataka,150.4,148.8,141.3,,1,Tuesday,7,2013,0,92,,0,25.9,19.5,5.7
2013-07-03,Karnataka,147.4,150.4,142.7,,2,Wednesday,7,2013,0,93,,0,26.2,19.6,7.0
2013-07-04,Karnataka,145.0,147.4,143.9,,3,Thursday,7,2013,0,94,,0,26.3,19.3,3.7
2013-07-05,Karnataka,150.0,145.0,,,4,Friday,7,2013,0,95,,0,25.7,20.0,0.6
2013-07-06,Karnataka,149.0,150.0,148.0,147.20000000000002,5,Saturday,7,2013,1,96,,0,25.8,20.4,1.0
2013-07-07,Karnataka,137.8,149.0,140.8,147.34285714285716,6,Sunday,7,2013,1,97,,0,26.0,19.7,6.9
2013-07-08,Karnataka,144.5,137.8,148.8,146.91428571428574,0,Monday,7,2013,0,98,,0,26.1,19.3,7.3
2013-07-09,Karnataka,148.1,144.5,150.4,146.29999999999998,1,Tuesday,7,2013,0,99,,0,25.7,20.1,2.9
2013-07-10,Karnataka,147.1,148.1,147.4,145.9714285714286,2,Wednesday,7,2013,0,100,,0,24.9,19.4,1.5
2013-07-11,Karnataka,140.5,147.1,145.0,145.92857142857142,3,Thursday,7,2013,0,101,,0,24.0,18.8,6.3
2013-07-12,Karnataka,138.8,140.5,150.0,145.28571428571428,4,Friday,7,2013,0,102,,0,23.2,18.9,9.2
2013-07-13,Karnataka,136.2,138.8,149.0,143.68571428571428,5,Saturday,7,2013,1,103,,0,25.9,19.2,3.0
2013-07-14,Karnataka,130.3,136.2,137.8,141.85714285714286,6,Sunday,7,2013,1,104,,0,26.4,20.2,1.9
2013-07-15,Karnataka,141.9,130.3,144.5,140.78571428571428,0,Monday,7,2013,0,105,,0,26.1,19.9,8.7
