ym,days,avg_mu,prev_month_mu,mom_pct
2013-04,30,164.1,,
2013-05,30,155.1,164.1,-5.46
2013-06,27,138.5,155.1,-10.73
2013-07,30,139.1,138.5,0.46
2013-08,28,147.5,139.1,6.01
2013-09,27,137.2,147.5,-6.98
2013-10,30,149.4,137.2,8.88
2013-11,30,161.4,149.4,8.08
2013-12,31,168.8,161.4,4.59
2014-02,28,188.7,168.8,11.73
2014-03,31,185.6,188.7,-1.63
2014-04,29,188.0,185.6,1.29
2014-05,31,163.1,188.0,-13.25
2014-06,30,159.3,163.1,-2.29
2014-07,31,154.3,159.3,-3.18
2014-08,31,147.2,154.3,-4.56
2014-09,30,150.0,147.2,1.88
2014-10,31,145.3,150.0,-3.16
2014-11,30,158.4,145.3,9.02
2014-12,30,169.2,158.4,6.87
2015-01,31,178.4,169.2,5.44
2015-02,28,192.0,178.4,7.59
2015-03,30,190.8,192.0,-0.64
2015-04,29,178.5,190.8,-6.45
2015-05,30,164.3,178.5,-7.94
2015-06,27,151.7,164.3,-7.66
2015-07,28,174.6,151.7,15.1
2015-08,31,161.6,174.6,-7.48
2015-09,27,146.6,161.6,-9.24
2015-10,30,151.0,146.6,2.95
2015-11,30,155.8,151.0,3.19
2015-12,31,167.5,155.8,7.51
2016-01,31,182.9,167.5,9.18
2016-02,28,197.0,182.9,7.74
2016-03,28,204.7,197.0,3.89
2016-04,29,205.8,204.7,0.54
2016-05,31,179.0,205.8,-13.02
2016-06,27,150.2,179.0,-16.06
2016-07,29,148.9,150.2,-0.86
2016-08,31,172.1,148.9,15.59
2016-09,30,179.9,172.1,4.52
2016-10,31,192.9,179.9,7.24
2016-11,27,200.2,192.9,3.74
2016-12,30,187.0,200.2,-6.55
2017-01,29,196.8,187.0,5.19
2017-04,29,211.0,196.8,7.24
2017-05,30,176.5,211.0,-16.36
2017-06,29,165.2,176.5,-6.4
2017-07,30,175.0,165.2,5.94
2017-08,31,172.8,175.0,-1.28
2017-09,30,151.3,172.8,-12.43
2017-10,31,144.3,151.3,-4.61
2017-11,28,190.1,144.3,31.69
2017-12,31,196.8,190.1,3.53
2018-01,31,206.0,196.8,4.68
2018-02,28,211.6,206.0,2.73
2018-03,31,221.8,211.6,4.82
2018-04,30,217.1,221.8,-2.12
2018-05,31,179.6,217.1,-17.29
2018-06,30,165.0,179.6,-8.13
2018-07,31,173.6,165.0,5.23
2018-08,26,176.9,173.6,1.91
2018-09,30,191.5,176.9,8.24
2018-10,31,189.6,191.5,-0.96
2018-11,29,206.7,189.6,9.0
2018-12,31,204.9,206.7,-0.89
2019-01,31,208.6,204.9,1.82
2019-02,27,222.1,208.6,6.48
2019-03,31,246.0,222.1,10.73
2019-04,30,233.7,246.0,-4.98
2019-05,31,216.1,233.7,-7.52
2019-06,29,193.5,216.1,-10.47
2019-07,31,183.9,193.5,-4.96
2019-08,31,164.5,183.9,-10.52
2019-09,30,175.7,164.5,6.8
2019-10,30,149.4,175.7,-14.97
2019-11,30,173.2,149.4,15.93
2019-12,31,192.4,173.2,11.06
2020-01,31,223.4,192.4,16.12
2020-02,29,238.7,223.4,6.83
2020-03,31,239.9,238.7,0.54
2020-04,29,204.4,239.9,-14.83
2020-05,30,194.6,204.4,-4.77
2020-06,28,175.9,194.6,-9.59
2020-07,30,156.7,175.9,-10.94
2020-11,26,184.1,156.7,17.47
2020-12,28,201.4,184.1,9.45
2021-01,31,208.1,201.4,3.31
2021-02,27,230.9,208.1,10.96
2021-03,30,261.0,230.9,13.03
2021-04,27,245.8,261.0,-5.84
2021-05,30,187.2,245.8,-23.84
2021-06,27,174.4,187.2,-6.83
2021-07,30,169.4,174.4,-2.84
2021-08,31,188.9,169.4,11.49
2021-09,28,190.4,188.9,0.78
2021-10,30,174.3,190.4,-8.42
2021-11,30,157.9,174.3,-9.41
2021-12,31,176.8,157.9,11.93
2022-01,31,223.9,176.8,26.65
2022-02,28,252.0,223.9,12.58
2022-03,31,267.4,252.0,6.1
2022-04,29,246.2,267.4,-7.94
2022-05,31,200.6,246.2,-18.51
2022-06,29,200.7,200.6,0.03
2022-07,31,173.3,200.7,-13.66
2022-08,31,179.4,173.3,3.53
2022-09,30,180.2,179.4,0.47
2022-10,31,165.9,180.2,-7.96
2022-11,29,199.4,165.9,20.23
2022-12,30,204.2,199.4,2.36
2023-01,31,237.5,204.2,16.35
2023-02,28,268.5,237.5,13.02
2023-03,30,280.3,268.5,4.39
2023-04,30,287.7,280.3,2.66
2023-05,31,243.8,287.7,-15.24
2023-06,30,246.1,243.8,0.93
2023-07,31,199.9,246.1,-18.76
2023-08,31,256.6,199.9,28.32
2023-09,30,239.3,256.6,-6.72
2023-10,31,259.6,239.3,8.48
2023-11,30,239.8,259.6,-7.64
2023-12,31,254.6,239.8,6.17
2024-01,31,269.9,254.6,6.02
2024-02,29,304.2,269.9,12.72
2024-03,31,323.1,304.2,6.21
2024-04,28,314.3,323.1,-2.75
