date,day_name,demand_mu,trailing_7day_mu,gap_mu,holiday
2022-12-11,Sunday,152.3,215.2,-62.9,
2023-04-30,Sunday,229.1,283.6,-54.5,
2023-05-01,Monday,223.7,278.2,-54.5,
2022-04-17,Sunday,190.5,244.9,-54.4,
2019-05-01,Wednesday,180.6,231.6,-51.0,
2022-10-02,Sunday,149.2,200.2,-51.0,Mahatma Gandhi's Birthday
2022-04-15,Friday,213.2,263.2,-50.0,Good Friday
2023-05-17,Wednesday,274.4,225.7,48.7,
2018-10-18,Thursday,151.5,199.4,-47.9,
2023-05-18,Thursday,283.5,236.6,46.9,
2021-02-21,Sunday,189.4,235.3,-45.9,
2022-08-19,Friday,226.9,181.4,45.5,Janmashtami (Vaishnava)
2023-05-16,Tuesday,263.6,219.0,44.6,
2022-08-17,Wednesday,211.8,167.2,44.6,
2021-07-11,Sunday,152.5,197.0,-44.5,
2022-10-01,Saturday,162.6,206.9,-44.3,
2022-08-18,Thursday,219.0,174.7,44.3,
2023-09-04,Monday,221.8,265.9,-44.1,
2023-06-25,Sunday,204.6,247.6,-43.0,
2018-10-19,Friday,149.6,192.5,-42.9,Dussehra
