yr,wk,avg_mu,same_week_last_year,yoy_pct
2013,13,162.2,,
2013,14,168.9,,
2013,15,168.6,,
2013,16,158.9,,
2013,17,160.2,,
2013,18,155.3,,
2013,19,159.8,,
2013,20,151.9,,
2013,23,135.4,,
2013,24,146.4,,
2013,26,146.9,,
2013,27,140.8,,
2013,28,136.7,,
2013,30,137.1,,
2013,31,143.3,,
2013,33,150.9,,
2013,35,145.2,,
2013,39,155.2,,
2013,40,158.8,,
2013,42,135.8,,
2013,43,142.1,,
2013,44,158.6,,
2013,45,167.8,,
2013,46,165.2,,
2013,47,162.0,,
2013,48,165.9,,
2013,49,170.0,,
2013,50,165.7,,
2013,51,173.4,,
2014,2,180.6,,
2014,3,181.5,,
2014,4,183.0,,
2014,5,185.6,,
2014,6,190.5,,
2014,7,191.5,,
2014,8,186.4,,
2014,9,171.8,,
2014,10,179.1,,
2014,11,191.5,,
2014,12,200.9,,
2014,13,198.8,162.2,22.62
2014,14,192.5,168.9,13.97
2014,15,177.0,168.6,5.0
2014,16,187.2,158.9,17.77
2014,18,153.8,155.3,-0.93
2014,19,174.6,159.8,9.24
2014,20,162.9,151.9,7.24
2014,21,160.5,,
2014,22,145.0,,
2014,23,157.2,135.4,16.1
2014,24,162.2,146.4,10.82
2014,25,172.1,,
2014,26,170.9,146.9,16.34
2014,27,148.4,140.8,5.4
2014,28,148.8,136.7,8.85
2014,29,152.5,,
2014,30,151.4,137.1,10.45
2014,31,155.0,143.3,8.15
2014,32,159.2,,
2014,33,143.9,150.9,-4.62
2014,34,130.0,,
2014,35,140.8,145.2,-3.03
2014,36,156.8,,
2014,37,156.0,,
2014,38,147.6,,
2014,39,143.6,155.2,-7.46
2014,40,142.1,158.8,-10.51
2014,41,156.6,,
2014,42,144.1,135.8,6.09
2014,43,138.3,142.1,-2.69
2014,44,163.5,158.6,3.03
2014,45,152.2,167.8,-9.31
2014,46,157.0,165.2,-4.99
2014,47,166.3,162.0,2.66
2014,48,168.9,165.9,1.8
2014,50,162.5,165.7,-1.91
2014,51,171.9,173.4,-0.85
2015,1,177.7,,
2015,2,176.7,180.6,-2.18
2015,3,180.4,181.5,-0.61
2015,4,183.5,183.0,0.28
2015,5,188.2,185.6,1.39
2015,6,191.5,190.5,0.56
2015,7,194.8,191.5,1.76
2015,8,192.0,186.4,3.0
2015,9,180.9,171.8,5.33
2015,10,184.1,179.1,2.84
2015,12,203.6,200.9,1.32
2015,13,197.0,198.8,-0.93
2015,15,166.1,177.0,-6.18
2015,16,172.7,187.2,-7.75
2015,18,172.0,153.8,11.83
2015,19,161.0,174.6,-7.75
2015,20,160.1,162.9,-1.73
2015,21,165.7,160.5,3.28
2015,23,159.6,157.2,1.51
2015,24,147.5,162.2,-9.1
2015,25,148.5,172.1,-13.7
2015,29,167.7,152.5,9.96
2015,30,174.1,151.4,14.98
2015,31,172.6,155.0,11.36
2015,32,162.9,159.2,2.31
2015,33,151.5,143.9,5.23
2015,34,158.5,130.0,21.96
2015,36,134.2,156.8,-14.42
2015,37,152.1,156.0,-2.54
2015,39,144.0,143.6,0.28
2015,40,137.2,142.1,-3.45
2015,41,147.4,156.6,-5.88
2015,42,162.0,144.1,12.4
2015,44,158.2,163.5,-3.22
2015,45,153.9,152.2,1.15
2015,46,155.3,157.0,-1.07
2015,47,154.9,166.3,-6.89
2015,48,156.0,168.9,-7.62
2015,49,163.9,170.0,-3.55
2015,50,169.9,162.5,4.55
2015,51,172.4,171.9,0.25
2016,1,182.7,177.7,2.84
2016,2,183.5,176.7,3.87
2016,3,179.9,180.4,-0.3
2016,4,188.2,183.5,2.59
