date,state,energy_met_mu
2013-04-01,Andhra Pradesh,248.5
2013-04-02,Andhra Pradesh,249.0
2013-04-03,Andhra Pradesh,249.0
2013-04-04,Andhra Pradesh,253.9
2013-04-05,Andhra Pradesh,246.0
2013-04-06,Andhra Pradesh,248.9
2013-04-07,Andhra Pradesh,246.5
2013-04-08,Andhra Pradesh,250.5
2013-04-09,Andhra Pradesh,249.0
2013-04-10,Andhra Pradesh,245.0
2013-04-11,Andhra Pradesh,246.0
2013-04-12,Andhra Pradesh,248.8
2013-04-13,Andhra Pradesh,250.4
2013-04-14,Andhra Pradesh,249.5
2013-04-15,Andhra Pradesh,249.2
2013-04-16,Andhra Pradesh,249.7
2013-04-17,Andhra Pradesh,241.1
2013-04-18,Andhra Pradesh,245.7
2013-04-19,Andhra Pradesh,247.8
2013-04-20,Andhra Pradesh,238.0
2013-04-21,Andhra Pradesh,231.2
2013-04-22,Andhra Pradesh,234.6
2013-04-23,Andhra Pradesh,235.0
2013-04-24,Andhra Pradesh,232.3
2013-04-25,Andhra Pradesh,239.2
2013-04-26,Andhra Pradesh,238.8
2013-04-27,Andhra Pradesh,242.6
2013-04-28,Andhra Pradesh,240.6
2013-04-29,Andhra Pradesh,242.8
2013-04-30,Andhra Pradesh,245.9
2013-05-01,Andhra Pradesh,240.2
2013-05-02,Andhra Pradesh,236.3
2013-05-03,Andhra Pradesh,242.0
2013-05-04,Andhra Pradesh,240.9
2013-05-05,Andhra Pradesh,237.1
2013-05-06,Andhra Pradesh,242.5
2013-05-07,Andhra Pradesh,239.7
2013-05-08,Andhra Pradesh,241.0
2013-05-09,Andhra Pradesh,242.7
2013-05-10,Andhra Pradesh,244.9
2013-05-11,Andhra Pradesh,247.7
2013-05-12,Andhra Pradesh,229.8
2013-05-13,Andhra Pradesh,240.4
2013-05-14,Andhra Pradesh,241.4
2013-05-15,Andhra Pradesh,238.7
2013-05-16,Andhra Pradesh,236.4
2013-05-17,Andhra Pradesh,239.2
2013-05-18,Andhra Pradesh,235.0
2013-05-19,Andhra Pradesh,240.1
2013-05-20,Andhra Pradesh,239.8
2013-05-21,Andhra Pradesh,243.3
2013-05-22,Andhra Pradesh,245.9
2013-05-23,Andhra Pradesh,243.0
2013-05-24,Andhra Pradesh,242.9
2013-05-25,Andhra Pradesh,244.7
2013-05-26,Andhra Pradesh,244.1
2013-05-27,Andhra Pradesh,240.4
2013-05-28,Andhra Pradesh,242.0
2013-05-29,Andhra Pradesh,235.4
2013-05-31,Andhra Pradesh,224.5
2013-06-02,Andhra Pradesh,216.4
2013-06-04,Andhra Pradesh,223.6
2013-06-05,Andhra Pradesh,227.3
2013-06-06,Andhra Pradesh,221.6
2013-06-07,Andhra Pradesh,222.7
2013-06-08,Andhra Pradesh,210.0
2013-06-09,Andhra Pradesh,208.1
2013-06-10,Andhra Pradesh,216.3
2013-06-11,Andhra Pradesh,218.5
2013-06-12,Andhra Pradesh,212.4
2013-06-13,Andhra Pradesh,209.8
2013-06-14,Andhra Pradesh,203.0
2013-06-15,Andhra Pradesh,207.8
2013-06-16,Andhra Pradesh,213.7
2013-06-17,Andhra Pradesh,227.4
2013-06-18,Andhra Pradesh,233.3
2013-06-19,Andhra Pradesh,235.3
2013-06-20,Andhra Pradesh,240.4
2013-06-21,Andhra Pradesh,240.9
2013-06-22,Andhra Pradesh,231.3
2013-06-23,Andhra Pradesh,224.1
2013-06-24,Andhra Pradesh,221.9
2013-06-25,Andhra Pradesh,214.9
2013-06-26,Andhra Pradesh,223.0
2013-06-27,Andhra Pradesh,229.0
2013-06-29,Andhra Pradesh,227.8
2013-06-30,Andhra Pradesh,231.5
2013-07-01,Andhra Pradesh,234.9
2013-07-02,Andhra Pradesh,228.9
2013-07-03,Andhra Pradesh,230.9
2013-07-04,Andhra Pradesh,226.9
2013-07-05,Andhra Pradesh,223.0
2013-07-06,Andhra Pradesh,224.8
2013-07-07,Andhra Pradesh,218.4
2013-07-08,Andhra Pradesh,219.8
2013-07-09,Andhra Pradesh,225.5
2013-07-10,Andhra Pradesh,223.9
2013-07-11,Andhra Pradesh,214.5
2013-07-12,Andhra Pradesh,205.5
2013-07-13,Andhra Pradesh,209.2
2013-07-14,Andhra Pradesh,215.6
2013-07-15,Andhra Pradesh,221.1
2013-07-16,Andhra Pradesh,221.3
2013-07-17,Andhra Pradesh,211.8
2013-07-18,Andhra Pradesh,214.6
2013-07-19,Andhra Pradesh,206.3
2013-07-20,Andhra Pradesh,207.2
2013-07-21,Andhra Pradesh,213.4
2013-07-22,Andhra Pradesh,209.9
2013-07-23,Andhra Pradesh,202.0
2013-07-24,Andhra Pradesh,213.7
2013-07-25,Andhra Pradesh,226.4
2013-07-26,Andhra Pradesh,233.8
2013-07-28,Andhra Pradesh,235.9
2013-07-29,Andhra Pradesh,243.6
2013-07-30,Andhra Pradesh,238.0
2013-07-31,Andhra Pradesh,220.2
2013-08-01,Andhra Pradesh,223.3
2013-08-02,Andhra Pradesh,234.8
2013-08-03,Andhra Pradesh,247.8
2013-08-04,Andhra Pradesh,247.7
2013-08-05,Andhra Pradesh,245.4
