date,temp_max_c,temp_min_c,rain_mm
2013-04-01,32.1,23.1,6.3
2013-04-02,31.8,21.9,3.6
2013-04-03,31.8,22.1,0.4
2013-04-04,33.4,21.3,0.0
2013-04-05,33.2,22.1,0.0
2013-04-06,34.4,22.6,0.0
2013-04-07,35.4,19.9,0.0
2013-04-08,34.7,21.3,0.0
2013-04-09,33.3,22.7,0.0
2013-04-10,34.1,22.1,0.0
2013-04-11,34.8,20.5,0.0
2013-04-12,35.6,20.9,0.0
2013-04-13,34.4,19.4,0.0
2013-04-14,34.5,21.1,0.0
2013-04-15,32.9,22.4,0.0
2013-04-16,34.5,21.9,0.0
2013-04-17,35.0,21.3,0.0
2013-04-18,34.3,21.4,0.0
2013-04-19,32.9,21.7,0.0
2013-04-20,32.9,21.3,0.0
2013-04-21,33.4,21.7,0.0
2013-04-22,32.2,21.8,0.0
2013-04-23,31.4,21.9,0.0
2013-04-24,32.5,21.5,3.0
2013-04-25,31.1,21.5,8.1
2013-04-26,31.4,21.0,1.0
2013-04-27,31.3,21.0,0.0
2013-04-28,32.1,21.7,0.2
2013-04-29,32.9,20.8,0.0
2013-04-30,34.8,21.7,0.0
2013-05-01,34.8,20.1,0.0
2013-05-02,34.4,22.1,0.0
2013-05-03,34.2,22.3,0.7
2013-05-04,33.5,22.9,2.2
2013-05-05,32.7,22.1,3.2
2013-05-06,32.3,21.7,0.0
2013-05-07,33.0,22.5,0.0
2013-05-08,33.7,22.5,1.0
2013-05-09,34.3,22.3,4.6
2013-05-10,33.2,22.3,0.3
2013-05-11,33.7,22.1,7.7
2013-05-12,30.5,21.7,0.6
2013-05-13,31.2,22.6,0.0
2013-05-14,31.9,21.5,0.0
2013-05-15,32.4,20.9,0.0
2013-05-16,31.9,20.6,0.0
2013-05-17,33.2,21.5,0.0
2013-05-18,33.4,22.8,7.2
2013-05-19,32.1,21.5,21.9
2013-05-20,31.7,21.8,24.4
2013-05-21,31.3,20.2,66.4
2013-05-22,30.8,21.3,2.2
2013-05-23,31.1,21.5,0.4
2013-05-24,30.9,20.6,0.0
2013-05-25,30.3,20.8,0.4
2013-05-26,29.7,20.8,1.1
2013-05-27,28.9,21.0,13.5
2013-05-28,27.3,21.1,11.3
