Date,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,AMNSIL,Damodar Valley Corporation,Total
2013-01-01,,247.4,1.5,18.6,36.6,3.8,64.4,13.5,5.0,64.9,8.1,231.1,98.3,24.7,28.6,21.6,171.7,57.1,,162.0,353.1,1.5,5.4,1.2,1.5,67.5,5.5,91.5,175.6,1.7,245.3,,2.9,219.2,31.7,102.0,6.0,59.3,2629.7999999999997
2013-01-02,,253.0,1.7,17.5,40.5,3.8,64.2,13.8,5.3,65.0,8.4,237.5,104.6,25.0,38.4,21.4,174.6,57.7,,173.4,361.7,1.7,4.9,1.2,1.6,64.4,5.7,92.4,189.0,1.7,247.7,,2.9,214.9,33.0,101.4,6.0,57.9,2693.8999999999996
2013-01-03,,256.1,1.7,17.8,39.3,3.9,63.7,14.9,5.7,67.2,7.9,241.8,113.2,25.7,43.3,21.4,179.9,58.4,,176.4,357.7,1.8,4.9,1.2,1.6,63.7,5.9,94.7,196.0,1.7,253.8,,3.3,227.2,33.6,101.5,7.4,58.7,2753.0
2013-01-04,,252.6,1.7,18.7,40.3,3.7,63.4,15.2,5.8,63.5,8.0,242.2,110.7,26.0,37.4,21.0,177.2,58.8,,176.0,365.0,1.5,5.3,1.2,1.6,66.3,5.8,96.8,189.0,1.3,252.2,,2.5,229.2,34.1,118.5,7.7,60.0,2760.2000000000003
2013-01-05,,248.6,1.6,17.6,41.5,3.7,62.7,15.0,5.7,61.8,7.3,234.5,103.7,24.1,40.6,21.2,167.0,53.9,,162.5,356.7,1.5,5.1,1.2,1.7,64.2,5.3,89.1,183.1,1.4,243.9,,2.4,219.6,32.8,102.8,7.5,59.5,2650.7999999999997
2013-01-06,,251.5,1.6,20.0,40.9,3.8,60.3,15.0,5.8,66.0,8.6,238.7,100.4,24.9,39.6,18.9,176.6,57.8,,164.1,362.5,1.5,5.4,1.0,1.6,68.6,5.6,95.2,192.0,1.7,254.5,,2.6,225.0,33.6,107.5,7.8,56.2,2716.7999999999997
2013-01-07,,257.9,1.7,20.2,39.6,3.8,64.3,15.1,5.8,67.2,7.9,232.9,110.0,25.7,40.6,20.8,179.7,58.6,,170.8,365.9,1.6,5.3,1.2,1.6,62.8,5.5,92.8,192.9,1.8,262.3,,2.6,219.1,34.2,106.6,7.8,59.9,2746.4999999999995
2013-03-31,,253.7,1.4,16.0,32.7,3.1,72.7,13.2,5.9,56.1,7.2,249.9,91.6,21.0,33.8,19.6,158.0,56.0,,133.0,337.8,0.8,4.2,1.1,1.2,69.4,6.0,92.3,155.0,1.1,223.2,,3.5,195.0,27.3,126.6,,56.7,2526.0999999999995
2013-04-01,,248.5,1.2,16.8,30.3,3.5,76.3,12.8,5.5,61.0,7.5,246.1,92.4,21.2,31.8,19.8,159.4,57.6,,135.2,357.5,1.2,4.4,1.0,1.2,70.2,6.0,97.8,155.6,1.2,234.4,,2.9,192.4,27.6,137.0,,57.3,2574.6
2013-04-02,,249.0,1.1,16.3,29.5,3.6,65.5,12.8,5.8,62.1,8.6,250.8,93.3,22.3,29.2,19.4,164.6,59.5,,127.1,365.0,1.2,4.5,1.0,1.0,68.1,6.4,98.4,145.1,1.3,229.4,,2.6,192.4,29.0,136.2,,56.3,2558.4
2013-04-03,,249.0,0.9,16.1,27.6,3.5,62.1,13.4,6.0,62.0,8.2,251.4,95.3,23.3,29.5,16.5,163.7,62.0,,127.6,366.5,1.2,4.3,1.0,1.0,67.2,6.4,99.7,136.9,1.3,224.0,,3.1,197.3,28.5,140.4,,54.1,2551.0
2013-04-04,,253.9,1.0,15.2,29.4,3.5,74.0,13.8,6.1,63.0,8.2,256.1,102.0,23.8,30.7,17.8,161.8,61.4,,134.8,362.5,1.3,4.2,0.9,0.8,68.5,6.5,101.3,142.5,0.9,227.3,,3.0,194.8,29.4,134.0,,51.9,2586.3
2013-04-05,,246.0,1.0,15.1,26.0,3.6,71.5,13.3,6.1,64.6,8.1,260.5,93.3,23.1,28.4,17.3,163.3,60.5,,135.7,359.6,1.0,4.1,0.8,1.1,70.3,6.6,100.3,143.1,0.8,230.2,,2.8,187.3,28.8,135.9,,54.7,2564.8000000000006
2013-04-06,,248.9,1.0,15.6,28.7,3.5,72.6,14.0,5.8,62.6,7.9,262.3,90.8,23.7,27.0,19.3,161.1,59.4,,136.5,356.6,1.0,4.5,1.0,0.9,71.0,6.6,100.7,142.3,0.8,241.3,,2.6,197.7,29.6,134.5,,56.7,2588.5
2013-04-07,,246.5,0.9,16.1,30.0,3.3,73.1,13.9,6.0,60.1,7.9,252.2,89.7,22.1,28.5,17.6,161.2,56.3,,136.0,353.3,1.0,4.5,0.9,0.9,67.0,6.2,96.9,147.8,0.8,227.2,,3.0,201.8,26.9,126.1,,66.8,2552.5
2013-04-08,,250.5,1.0,15.7,29.8,3.8,75.5,13.9,5.7,68.4,7.8,261.7,91.9,22.9,30.8,19.3,169.6,60.3,,138.9,372.1,1.0,4.5,1.0,0.9,70.3,6.5,99.3,140.2,1.2,227.8,,3.4,204.6,30.4,136.4,,56.6,2623.7000000000003
2013-04-09,,249.0,1.1,16.1,30.5,4.0,74.7,14.0,6.2,69.9,7.9,264.3,89.6,23.2,32.2,19.5,172.1,59.3,,136.7,372.4,1.2,4.1,1.0,0.9,73.4,6.6,103.0,141.5,1.2,233.7,,3.1,201.2,31.8,147.8,,53.4,2646.6
2013-04-10,,245.0,1.1,15.3,31.5,4.1,75.0,14.0,6.2,72.7,8.1,262.9,86.5,23.3,26.6,20.7,169.7,59.4,,142.6,374.0,1.1,4.4,1.0,0.9,67.8,6.5,97.1,132.4,1.1,236.7,,3.2,195.4,30.4,152.5,,51.1,2620.2999999999997
2013-04-11,,246.0,1.2,15.3,36.5,4.3,74.8,14.0,6.3,74.7,8.0,264.8,91.9,23.6,26.7,20.2,162.4,60.8,,143.0,361.7,1.1,4.0,1.0,0.9,73.4,6.5,105.1,141.2,1.5,233.7,,3.2,199.3,25.4,141.9,,53.8,2628.2
2013-04-12,,248.8,1.2,16.7,34.8,4.2,77.5,14.0,6.3,73.1,8.2,267.5,94.9,22.4,27.3,20.4,169.3,61.2,,144.9,362.5,1.1,3.4,1.1,0.9,72.8,6.6,100.5,141.1,0.5,228.9,,3.1,206.7,29.3,135.0,,56.2,2642.4
2013-04-13,,250.4,1.1,16.2,33.9,3.9,69.6,13.5,6.2,67.5,8.3,267.0,89.2,23.8,28.0,19.1,172.2,60.5,,141.1,367.9,1.1,4.0,1.1,0.9,85.9,6.6,99.9,138.6,1.2,225.1,,3.3,211.8,30.9,121.7,,54.7,2626.2000000000003
2013-04-14,,249.5,1.1,14.7,28.8,3.6,51.1,14.0,6.1,68.6,7.5,258.7,88.2,22.0,29.4,17.1,167.2,57.4,,132.7,360.1,1.1,3.8,1.0,0.6,62.6,6.0,98.5,135.1,0.5,237.2,,3.4,210.0,28.4,124.5,,51.4,2541.9
2013-04-15,,249.2,1.3,12.6,29.3,4.2,67.7,14.1,6.2,75.3,7.3,269.9,96.3,21.0,30.1,15.4,170.8,57.9,,138.7,373.7,1.1,4.2,0.9,1.1,76.0,6.4,99.9,141.8,1.2,224.3,,3.1,217.5,30.6,127.6,,54.4,2631.0999999999995
2013-04-16,,249.7,1.2,15.7,33.5,4.2,73.6,14.3,6.3,78.6,7.3,269.8,97.6,23.1,23.7,19.0,169.6,59.6,,140.1,368.4,1.1,4.2,0.9,1.0,71.6,6.4,101.6,137.9,0.8,246.3,,2.7,218.6,32.6,131.5,,57.8,2670.3
2013-04-17,,241.1,1.2,16.0,29.6,4.1,79.9,14.9,6.4,78.4,7.9,267.9,96.1,24.6,28.7,22.8,170.7,61.1,,140.4,368.6,1.2,3.7,1.0,0.9,69.6,6.5,102.2,141.3,1.0,241.1,,3.1,220.9,32.1,123.5,,55.8,2664.2999999999997
2013-04-18,,245.7,1.3,16.7,31.9,4.2,72.8,14.3,6.3,78.6,7.4,264.8,95.2,24.7,29.4,19.1,171.2,60.4,,137.1,361.0,1.2,3.8,1.0,1.0,67.9,6.7,102.0,140.1,1.3,243.7,,3.0,216.0,32.3,116.9,,57.7,2636.7
2013-04-19,,247.8,1.2,15.0,31.6,4.1,69.5,14.5,6.4,76.3,7.9,255.8,95.1,24.6,29.4,15.5,166.7,60.7,,121.4,352.8,1.0,4.0,1.0,1.1,62.1,6.6,105.1,136.8,1.4,236.4,,3.2,216.0,31.8,118.9,,55.0,2576.7
2013-04-20,,238.0,1.2,14.8,32.0,4.1,55.0,13.8,6.1,76.5,8.0,230.9,94.9,24.5,30.7,16.5,169.5,60.0,,122.0,357.5,1.2,3.8,1.1,1.1,56.0,6.8,102.0,138.2,0.6,236.0,,2.8,215.7,29.8,108.5,,59.2,2518.8
2013-04-21,,231.2,1.1,15.7,30.0,3.7,55.8,14.4,6.2,71.1,7.2,237.1,90.8,22.9,30.9,17.2,161.7,55.4,,122.1,354.0,1.0,3.7,1.0,1.1,59.2,6.2,92.8,131.6,0.8,230.3,,3.4,208.1,29.3,101.9,,55.3,2454.2
2013-04-22,,234.6,1.1,15.8,34.1,4.3,61.5,14.5,6.3,74.0,8.0,244.4,92.3,24.0,28.0,19.4,167.4,59.8,,128.6,365.7,1.2,4.0,1.1,1.2,64.0,6.6,100.5,132.4,0.7,232.6,,3.2,212.1,31.9,107.5,,54.3,2537.0999999999995
2013-04-23,,235.0,0.7,17.1,32.5,4.3,67.6,14.3,6.3,77.1,8.0,247.3,95.8,24.6,28.9,19.7,169.4,60.5,,136.9,371.0,1.1,4.0,1.1,1.2,67.9,6.6,103.3,138.2,1.1,233.4,,3.1,219.3,31.8,117.9,,58.7,2605.7
2013-04-24,,232.3,1.2,16.1,31.6,4.3,69.1,14.3,6.2,78.4,7.9,261.2,101.2,24.2,31.4,20.2,164.2,59.7,,141.0,370.2,1.2,3.8,1.0,1.3,69.4,6.6,103.5,145.9,1.3,231.6,,3.1,227.3,32.3,120.6,,59.1,2642.7000000000003
2013-04-25,,239.2,0.8,16.8,32.9,4.5,67.9,14.0,6.3,83.4,8.3,262.8,104.7,23.6,30.2,21.3,156.8,58.9,,134.7,367.9,1.1,3.3,1.1,1.1,70.9,6.7,103.8,142.8,1.2,232.9,,3.1,228.0,32.7,129.0,,59.7,2652.3999999999996
2013-04-26,,238.8,0.9,17.4,37.1,4.3,70.4,14.2,6.2,83.6,8.0,266.2,101.8,24.3,30.9,21.0,149.4,59.0,,132.5,349.0,1.2,3.3,1.1,1.2,68.2,6.6,98.6,146.5,1.2,232.8,,2.6,224.9,32.8,123.8,,61.5,2621.2999999999997
2013-04-27,,242.6,1.0,16.3,37.9,4.2,72.4,14.4,6.2,79.2,8.5,269.4,105.0,23.8,29.6,21.0,156.3,58.3,,142.0,362.8,1.1,3.3,1.0,1.2,69.9,6.4,101.7,144.9,1.5,231.7,,3.0,225.6,33.6,138.7,,62.9,2677.3999999999996
2013-04-28,,240.6,0.8,17.5,37.6,3.7,73.6,14.2,6.2,74.5,7.2,258.1,101.6,22.1,30.7,20.9,149.0,52.9,,142.7,362.8,1.3,3.1,1.0,1.1,70.7,6.1,98.2,143.5,0.7,241.9,,2.3,231.1,30.6,124.6,,61.9,2634.8
2013-04-29,,242.8,1.2,17.6,39.4,4.4,74.2,13.5,5.7,81.6,8.6,270.8,104.8,22.9,29.4,21.2,153.8,53.6,,144.5,377.5,0.9,3.4,1.0,1.2,71.8,6.5,106.7,153.2,0.3,238.3,,3.0,231.1,32.8,132.7,,62.8,2713.2
